fullVisitorId,channelGrouping,weekend_prop,hour,sessionId,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,totals.hits,totals.pageviews,bounce_prop,trafficSource.medium,cluster
2.53836E+16,Organic Search,0,19,2,Chrome,desktop,0,Windows,14,10.5,0,organic,8
2.57334E+16,Organic Search,0,13.5,2,Chrome,desktop,0,Macintosh,9.5,8.5,0,organic,5
2.62037E+16,Organic Search,0,17,5,Chrome,desktop,0,Macintosh,16,10,0,organic,5
2.6286E+16,Social,0,15,3,Safari,desktop,0,Macintosh,1,1,0.666666667,referral,6
2.63298E+16,Referral,0,20,2,Chrome,desktop,0,Chrome OS,20,15,0,referral,8
2.64013E+16,Referral,0,12,9,Chrome,desktop,0,Macintosh,6,4,0,referral,5
2.77293E+16,Direct,0,4,2,Chrome,desktop,0,Macintosh,16.5,13,0.5,(none),2
2.78195E+16,Organic Search,0,16,5,Chrome,desktop,0,Windows,19,15,0.2,organic,2
2.87148E+16,Referral,0,19,7,Chrome,desktop,0,Macintosh,6,6,0,referral,5
2.89202E+16,Referral,0.083333333,18,12,Chrome,desktop,0,Macintosh,1,1,0.75,referral,6
2.89843E+16,Organic Search,0,18,1,Chrome,desktop,0,Linux,15,12,0,organic,8
2.91314E+16,Referral,0,17.5,4,Chrome,desktop,0,Macintosh,16,12,0.25,referral,2
2.95349E+16,Direct,0.5,14,2,Chrome,desktop,0,Macintosh,72,46.5,0,(none),7
2.96178E+16,Social,0,20,1,Chrome,desktop,0,Windows,54,40,0,referral,3
3.05964E+16,Direct,0.111111111,18,9,Chrome,desktop,0,Macintosh,4,4,0.111111111,(none),6
3.06001E+16,Referral,0,8,2,Chrome,desktop,0,Linux,11,9.5,0,referral,5
3.10374E+16,Organic Search,0,20,3,Chrome,desktop,0,Macintosh,29,19,0,organic,8
3.16079E+16,Referral,0,18,4,Chrome,desktop,0,Windows,14,13,0,referral,8
3.18121E+16,Direct,0,19,1,Safari,mobile,1,iOS,19,15,0,(none),4
3.20805E+16,Direct,0,22,2,Chrome,desktop,0,Macintosh,26.5,21,0,(none),8
3.22854E+16,Direct,0,15,1,Chrome,desktop,0,Windows,28,26,0,(none),3
3.22888E+16,Direct,0,16,1,Chrome,desktop,0,Chrome OS,9,8,0,(none),8
3.24174E+16,Referral,0,14,3,Chrome,desktop,0,Windows,21,19,0,referral,8
3.26044E+16,Organic Search,0,18.5,2,Internet Explorer,desktop,0,Windows,17,14.5,0,organic,8
3.26582E+16,Direct,0,9,2,Chrome,mobile,1,Android,10,10,0.5,(none),0
3.26643E+16,Organic Search,0,15.5,4,Firefox,desktop,0,Windows,7.5,6,0,organic,5
3.26854E+16,Direct,0,18,3,Chrome,desktop,0,Chrome OS,9,9,0,(none),5
3.30246E+16,Referral,0,5,5,Chrome,desktop,0,Macintosh,36,20,0,referral,1
3.49888E+16,Organic Search,0,18,7,Chrome,desktop,0,Macintosh,5,5,0,organic,5
3.53228E+16,Referral,0,20,1,Chrome,desktop,0,Windows,116,90,0,referral,3
3.56607E+16,Referral,0.5,10.5,2,Chrome,desktop,0,Macintosh,21,15,0,referral,7
3.61311E+16,Organic Search,0,18,1,Chrome,desktop,0,Linux,23,18,0,organic,8
3.6194E+16,Direct,0,19.5,2,Chrome,desktop,0,Windows,10.5,9.5,0.5,(none),2
3.62664E+16,Referral,0,17,1,Chrome,desktop,0,Macintosh,28,23,0,referral,3
3.64176E+16,Organic Search,0,16,4,Chrome,desktop,0,Macintosh,22,18,0,organic,8
3.64194E+16,Referral,0,23,1,Chrome,desktop,0,Macintosh,41,34,0,referral,3
3.65151E+16,Organic Search,0,17.5,2,Firefox,desktop,0,Windows,35.5,31.5,0.5,organic,2
3.66176E+16,Referral,1,23,3,Chrome,desktop,0,Macintosh,12,12,0,referral,7
3.67035E+16,Referral,0.25,2,4,Chrome,desktop,0,Macintosh,11.5,8,0,referral,5
3.68104E+16,Referral,0.166666667,16,6,Chrome,desktop,0,Macintosh,9,7.5,0,referral,5
3.72209E+16,Referral,0,15.5,4,Chrome,desktop,0,Macintosh,9,8.5,0.25,referral,2
3.75188E+16,Referral,0.333333333,15,3,Chrome,desktop,0,Chrome OS,14,9,0,referral,7
3.78062E+16,Organic Search,0,19,1,Chrome,desktop,0,Windows,23,21,0,organic,8
3.81113E+16,Direct,0,20,2,Chrome,desktop,0,Windows,42,32,0,(none),3
3.8208E+16,Organic Search,1,0,1,Chrome,desktop,0,Macintosh,15,12,0,organic,7
3.82121E+16,Paid Search,0,8.5,2,Chrome,desktop,0,Macintosh,8.5,8,0,cpc,5
3.91948E+16,Direct,0.5,16,2,Chrome,desktop,0,Macintosh,11,10.5,0,(none),7
3.93558E+16,Referral,1,6.5,2,Chrome,desktop,0,Macintosh,20.5,17,0,referral,7
3.94004E+16,Referral,0.25,18.5,4,Chrome,desktop,0,Macintosh,7,6,0.25,referral,6
3.95413E+16,Organic Search,0.333333333,22,3,Chrome,desktop,0,Chrome OS,29,22,0,organic,7
3.98441E+16,Direct,0,19,2,Chrome,desktop,0,Windows,20.5,16,0,(none),8
4.03327E+16,Referral,0,14,1,Chrome,desktop,0,Chrome OS,88,65,0,referral,3
4.03611E+16,Direct,0,17,5,Chrome,desktop,0,Macintosh,14,14,0.2,(none),2
4.19388E+16,Paid Search,0,15,7,Chrome,desktop,0,Macintosh,5,5,0,cpc,5
4.19551E+16,Referral,0.666666667,17,9,Chrome,desktop,0,Macintosh,8,8,0,referral,5
4.20571E+16,Referral,0,19,1,Chrome,desktop,0,Linux,21,17,0,referral,8
4.2123E+16,Paid Search,0,6,1,Chrome,desktop,0,Macintosh,38,30,0,cpc,1
4.21478E+16,Referral,0,0,1,Chrome,desktop,0,Macintosh,57,34,0,referral,1
4.2745E+16,Referral,0,18.5,6,Chrome,desktop,0,Macintosh,15.5,12.5,0,referral,5
4.2872E+16,Direct,0,16,1,Chrome,desktop,0,Windows,25,20,0,(none),8
4.35845E+16,Referral,0,20.5,4,Chrome,desktop,0,Macintosh,28,18.5,0,referral,8
4.37704E+16,Direct,0,16,2,Chrome,desktop,0,Macintosh,17.5,14,0,(none),8
4.39849E+16,Referral,0,15.5,2,Chrome,desktop,0,Linux,9,7.5,0,referral,5
4.42064E+16,Referral,0,21,1,Chrome,desktop,0,Linux,49,41,0,referral,3
4.48604E+16,Referral,0.333333333,3,3,Chrome,desktop,0,Macintosh,16,14,0,referral,7
4.48694E+16,Organic Search,1,15,1,Chrome,desktop,0,Macintosh,33,29,0,organic,7
4.52045E+16,Direct,0,18,2,Chrome,desktop,0,Windows,5.5,4.5,0.5,(none),6
4.54118E+16,Organic Search,0,21,2,Firefox,desktop,0,Windows,13.5,11.5,0.5,organic,2
4.56958E+16,Referral,0,8.5,4,Chrome,desktop,0,Macintosh,17,13,0,referral,5
4.7079E+16,Referral,0,22,1,Chrome,desktop,0,Macintosh,28,21,0,referral,3
4.70967E+16,Organic Search,0.5,19,2,Chrome,desktop,0,Windows,45,35,0,organic,7
4.74719E+16,Paid Search,0,17,1,Chrome,desktop,0,Macintosh,18,16,0,cpc,8
4.75077E+16,Organic Search,0,0,1,Chrome,desktop,0,Windows,24,20,0,organic,1
4.75095E+16,Direct,0,19,4,Chrome,desktop,0,Macintosh,25.5,21,0,(none),8
4.75117E+16,Paid Search,0,0,1,Opera,desktop,0,Windows,123,93,0,cpc,1
4.78685E+16,Direct,0,9,9,Chrome,desktop,0,Windows,6,6,0,(none),5
4.80024E+16,Referral,1,17,1,Chrome,desktop,0,Macintosh,28,21,0,referral,7
4.83157E+16,Referral,0.5,2,4,Chrome,desktop,0,Macintosh,14.5,12,0,referral,7
4.96189E+16,Organic Search,1,3,1,Safari,mobile,1,iOS,45,34,0,organic,4
4.96289E+16,Direct,0,4,3,Chrome,mobile,1,iOS,1,1,0.666666667,(none),0
4.98327E+16,Referral,1,3,2,Chrome,desktop,0,Macintosh,14.5,13,0,referral,7
5.12042E+16,Direct,0,14,1,Chrome,desktop,0,Macintosh,31,23,0,(none),3
5.12574E+16,Referral,0,17,8,Chrome,desktop,0,Linux,3.5,3.5,0,referral,5
5.1313E+16,Referral,0,20,1,Chrome,desktop,0,Macintosh,24,21,0,referral,8
5.15161E+16,Organic Search,0,22,1,Chrome,desktop,0,Chrome OS,16,14,0,organic,8
5.27574E+16,Organic Search,0,20,3,Chrome,desktop,0,Windows,6,6,0.333333333,organic,6
5.28687E+16,Direct,0,12,1,Safari,mobile,1,iOS,46,42,0,(none),4
5.29474E+16,Organic Search,0,14.5,6,Chrome,desktop,0,Macintosh,10,10,0,organic,5
5.30108E+16,Referral,0,16,3,Chrome,desktop,0,Macintosh,9,5,0.333333333,referral,2
5.30777E+16,Organic Search,0,13,1,Internet Explorer,desktop,0,Windows,13,11,0,organic,8
5.35343E+16,Referral,0,19,2,Chrome,desktop,0,Linux,30,23.5,0,referral,8
5.35444E+16,Display,0,19,4,Chrome,desktop,0,Macintosh,9.5,8.5,0,cpm,5
5.3867E+16,Organic Search,0,18,1,Chrome,desktop,0,Windows,39,30,0,organic,3
5.428E+16,Referral,0.333333333,19,3,Chrome,desktop,0,Macintosh,11,11,0.333333333,referral,2
5.43308E+16,Direct,0,11,2,Chrome,desktop,0,Windows,14.5,11.5,0.5,(none),2
5.43915E+16,Referral,0,17,3,Chrome,desktop,0,Macintosh,10,9,0,referral,5
5.46356E+16,Organic Search,1,22,1,Chrome,desktop,0,Macintosh,45,36,0,organic,7
5.48731E+16,Direct,0,17,3,Chrome,desktop,0,Macintosh,16,11,0.333333333,(none),2
5.52309E+16,Organic Search,1,23,1,Chrome,desktop,0,Macintosh,49,35,0,organic,7
5.55718E+16,Organic Search,0,14.5,4,Chrome,desktop,0,Windows,40.5,29,0,organic,1
5.58177E+16,Organic Search,0,17,1,Chrome,desktop,0,Windows,63,52,0,organic,3
5.6623E+16,Organic Search,0.5,22.5,2,Chrome,desktop,0,Windows,8.5,8,0,organic,7
5.6747E+16,Organic Search,0,20,7,Chrome,desktop,0,Macintosh,3,2,0.428571429,organic,6
5.70749E+16,Referral,0,21.5,2,Chrome,desktop,0,Macintosh,23.5,18.5,0,referral,8
5.72161E+16,Referral,0,15,2,Chrome,desktop,0,Macintosh,28.5,23.5,0,referral,8
5.76015E+16,Direct,0,18,6,Chrome,desktop,0,Macintosh,6.5,5.5,0,(none),5
5.76015E+16,Referral,0,17,1,Chrome,desktop,0,Macintosh,60,46,0,referral,3
5.76935E+16,Referral,0.75,18,4,Chrome,desktop,0,Macintosh,55.5,39.5,0.25,referral,2
5.78267E+16,Organic Search,0.333333333,15,3,Chrome,desktop,0,Macintosh,13,10,0.333333333,organic,2
5.80624E+16,Referral,0,20.5,2,Chrome,desktop,0,Windows,19.5,15,0,referral,8
5.95452E+16,Organic Search,0,12.5,4,Chrome,desktop,0,Windows,10,10,0.25,organic,2
6.02082E+16,Direct,0,3,2,Edge,desktop,0,Windows,18,17,0.5,(none),2
6.04021E+16,Direct,0.375,15.5,8,Chrome,desktop,0,Chrome OS,22.5,19,0.375,(none),2
6.05529E+16,Referral,0.333333333,18,6,Chrome,desktop,0,Windows,4.5,4,0,referral,5
6.06373E+16,Organic Search,0,11,1,Chrome,mobile,1,Android,31,29,0,organic,4
6.07076E+16,Organic Search,0,23,1,Chrome,desktop,0,Windows,25,18,0,organic,8
6.07097E+16,Referral,0.666666667,16,3,Chrome,desktop,0,Macintosh,4,4,0.333333333,referral,6
6.08026E+16,Organic Search,0.5,4,4,Safari,mobile,1,iOS,3,2,0.5,organic,0
6.08737E+16,Referral,0,20.5,6,Chrome,desktop,0,Macintosh,4.5,4.5,0.333333333,referral,6
6.15198E+16,Organic Search,0.333333333,14,3,Chrome,desktop,0,Windows,30,24,0,organic,7
6.15487E+16,Referral,0.666666667,20,3,Chrome,desktop,0,Chrome OS,4,4,0,referral,5
6.18921E+16,Organic Search,0.5,16.5,6,Chrome,desktop,0,Macintosh,5.5,4,0.333333333,organic,6
6.23015E+16,Direct,0,15,3,Chrome,desktop,0,Windows,61,46,0,(none),3
6.23378E+16,Display,0,18,7,Safari,desktop,0,Macintosh,7,6,0.142857143,cpm,6
6.23987E+16,Referral,0,14,1,Chrome,desktop,0,Windows,83,57,0,referral,3
6.27222E+16,Referral,0,3,3,Chrome,desktop,0,Macintosh,12,9,0,referral,5
6.34118E+16,Social,0,19,1,Chrome,desktop,0,Chrome OS,23,17,0,referral,8
6.37063E+16,Referral,0.5,18.5,2,Chrome,desktop,0,Linux,27,12,0,referral,7
6.37362E+16,Organic Search,0,4,5,Chrome,desktop,0,Windows,5,5,0,organic,5
6.47397E+16,Organic Search,0.333333333,17.5,6,Safari,desktop,0,Macintosh,2.5,2,0.5,organic,6
6.52451E+16,Referral,0,17,1,Chrome,desktop,0,Macintosh,43,34,0,referral,3
6.65478E+16,Display,0.153846154,11,13,Chrome,desktop,0,Windows,2,2,0.307692308,cpm,6
6.7047E+16,Paid Search,0,15,3,Chrome,desktop,0,Macintosh,19,19,0,cpc,8
6.71449E+16,Organic Search,0,1,1,Safari,mobile,1,iOS,59,50,0,organic,4
6.74272E+16,Organic Search,0,3.5,2,Chrome,desktop,0,Macintosh,27,20,0,organic,1
6.74753E+16,Referral,0,10.5,4,Chrome,desktop,0,Macintosh,13.5,11,0,referral,5
6.7517E+16,Referral,0,16.5,4,Chrome,desktop,0,Macintosh,30,22,0,referral,8
6.75662E+16,Referral,0,19.5,2,Chrome,desktop,0,Macintosh,9,7.5,0,referral,8
6.75866E+16,Paid Search,0,19.5,2,Firefox,desktop,0,Macintosh,16,14.5,0,cpc,8
6.83013E+16,Organic Search,0,21,3,Chrome,desktop,0,Linux,3,3,0,organic,5
6.83372E+16,Referral,0,16,3,Chrome,desktop,0,Macintosh,29,25,0.333333333,referral,2
6.84376E+16,Organic Search,0,17,3,Chrome,desktop,0,Macintosh,15,15,0.333333333,organic,2
6.85465E+16,Paid Search,0.75,18.5,4,Chrome,desktop,0,Macintosh,15.5,12,0,cpc,7
6.85902E+16,Direct,0,20,3,Chrome,desktop,0,Macintosh,10,10,0,(none),8
6.89324E+16,Organic Search,0,18,3,Chrome,desktop,0,Macintosh,27,18,0,organic,8
6.91477E+16,Referral,0,7.5,2,Chrome,desktop,0,Macintosh,24.5,18,0.5,referral,2
6.9563E+16,Organic Search,0,11,4,Chrome,desktop,0,Macintosh,8.5,7.5,0,organic,5
6.97809E+16,Direct,0,18,7,Chrome,desktop,0,Macintosh,6,4,0.285714286,(none),6
6.99326E+16,Referral,0,16.5,2,Chrome,desktop,0,Macintosh,20.5,15,0.5,referral,2
6.99755E+16,Referral,0,20,2,Chrome,desktop,0,Macintosh,39.5,27,0,referral,3
7.06229E+16,Referral,0,21,2,Chrome,desktop,0,Macintosh,14,12,0,referral,8
7.07495E+16,Referral,0,16,2,Chrome,desktop,0,Macintosh,14.5,12.5,0,referral,8
7.08931E+16,Referral,0,17,1,Chrome,desktop,0,Macintosh,76,33,0,referral,3
7.0977E+16,Referral,0,18,5,Chrome,desktop,0,Chrome OS,5,5,0.2,referral,6
7.1298E+16,Direct,0.090909091,16,11,Chrome,desktop,0,Windows,16,12,0.090909091,(none),2
7.17316E+16,Organic Search,0,21,1,Safari,desktop,0,Macintosh,25,18,0,organic,8
7.19153E+16,Organic Search,0,16,3,Chrome,desktop,0,Macintosh,26,19,0,organic,8
7.22568E+16,Referral,0,10,2,Chrome,desktop,0,Chrome OS,9,9,0,referral,5
7.25953E+16,Referral,0,19.5,6,Chrome,desktop,0,Macintosh,10.5,8.5,0.166666667,referral,2
7.28169E+16,Organic Search,0,4,2,Chrome,tablet,1,iOS,48,20,0.5,organic,4
7.28714E+16,Organic Search,0,16,5,Chrome,desktop,0,Chrome OS,4,4,0.2,organic,6
7.28715E+16,Direct,0,6,3,Chrome,desktop,0,Macintosh,12,12,0,(none),1
7.29653E+16,Referral,0,15,5,Chrome,desktop,0,Linux,1,1,0.6,referral,6
7.40757E+16,Display,0,17,4,Chrome,desktop,0,Macintosh,13,9.5,0,cpm,5
7.46506E+16,Organic Search,0,17,4,Chrome,desktop,0,Macintosh,10.5,8,0,organic,5
7.47662E+16,Organic Search,0,14,1,Chrome,desktop,0,Macintosh,66,45,0,organic,3
7.50153E+16,Paid Search,0,2,1,Chrome,desktop,0,Chrome OS,24,22,0,cpc,1
7.51542E+16,Organic Search,0,15,1,Chrome,desktop,0,Macintosh,23,19,0,organic,8
7.53382E+16,Display,0,14,1,Chrome,desktop,0,Macintosh,44,36,0,cpm,3
7.5449E+16,Referral,0,19,5,Chrome,desktop,0,Linux,4,2,0.2,referral,6
7.62553E+16,Referral,0,21,1,Chrome,desktop,0,Macintosh,23,20,0,referral,8
7.65297E+16,Referral,0,2,7,Chrome,desktop,0,Windows,2,2,0.285714286,referral,6
7.72223E+16,Organic Search,0,5,4,Chrome,desktop,0,Macintosh,23,19.5,0.25,organic,2
7.79108E+16,Direct,0,16.5,8,Firefox,desktop,0,Windows,5,4.5,0.25,(none),6
7.92049E+16,Organic Search,0,16.5,8,Chrome,desktop,0,Windows,12,9,0,organic,5
7.93631E+16,Organic Search,0,2,1,Chrome,desktop,0,Macintosh,81,62,0,organic,1
7.94558E+16,Referral,0,20,3,Chrome,desktop,0,Chrome OS,6,6,0.333333333,referral,6
7.94758E+16,Direct,0,20,4,Chrome,desktop,0,Macintosh,17.5,15.5,0,(none),8
7.96561E+16,Referral,0.333333333,14,3,Chrome,desktop,0,Macintosh,25,21,0.333333333,referral,2
7.98275E+16,Direct,0,17,9,Chrome,desktop,0,Macintosh,8,6,0,(none),5
7.98672E+16,Organic Search,0,18,2,Internet Explorer,desktop,0,Windows,13,9.5,0,organic,8
8.03175E+16,Organic Search,0,1,2,Chrome,desktop,0,Chrome OS,11,10.5,0,organic,1
8.04798E+16,Organic Search,0,18,3,Firefox,desktop,0,Macintosh,5,5,0,organic,5
8.0534E+16,Display,0,17,18,Chrome,desktop,0,Macintosh,4,4,0.055555556,cpm,6
8.12815E+16,Referral,0.666666667,21,6,Chrome,desktop,0,Linux,9,6.5,0,referral,5
8.15564E+16,Referral,0,12.5,2,Chrome,desktop,0,Macintosh,26,19.5,0,referral,8
8.18407E+16,Referral,0.142857143,18,7,Chrome,desktop,0,Macintosh,7,7,0,referral,5
8.19857E+16,Direct,0,12,3,Chrome,desktop,0,Windows,114,89,0,(none),3
8.22343E+16,Organic Search,0,5,5,Chrome,desktop,0,Macintosh,7,5,0.2,organic,6
8.24223E+16,Referral,0,22,2,Chrome,desktop,0,Macintosh,37.5,27.5,0,referral,3
8.28069E+16,Referral,0,18,1,Chrome,desktop,0,Chrome OS,75,51,0,referral,3
8.30558E+16,Referral,0,8,2,Chrome,desktop,0,Linux,13.5,11.5,0,referral,1
8.39641E+16,Organic Search,0,23,1,Chrome,desktop,0,Macintosh,22,19,0,organic,8
8.43729E+16,Direct,0,15,1,Chrome,desktop,0,Windows,16,15,0,(none),8
8.43836E+16,Referral,0,21,1,Chrome,desktop,0,Macintosh,26,21,0,referral,8
8.47419E+16,Referral,0,19,5,Chrome,desktop,0,Macintosh,16,13,0.2,referral,2
8.48342E+16,Referral,0,20.5,4,Chrome,desktop,0,Linux,18.5,15.5,0,referral,8
8.50573E+16,Organic Search,0,19,14,Chrome,desktop,0,Macintosh,9,7.5,0,organic,5
8.51937E+16,Direct,0,18,3,Chrome,desktop,0,Macintosh,10,7,0,(none),5
8.532E+16,Referral,0,22,1,Chrome,desktop,0,Macintosh,48,36,0,referral,3
8.5831E+16,Organic Search,0,16.5,6,Chrome,desktop,0,Windows,3,3,0,organic,5
8.58575E+16,Referral,0,15.5,4,Chrome,desktop,0,Macintosh,6.5,6,0.5,referral,6
8.61029E+16,Referral,0,23,5,Chrome,desktop,0,Windows,2,2,0.4,referral,6
8.63821E+16,Organic Search,0,4,2,Chrome,desktop,0,Linux,70,52,0,organic,1
8.64395E+16,Referral,0,17,1,Chrome,desktop,0,Macintosh,30,25,0,referral,3
8.74227E+16,Referral,0.333333333,18,3,Chrome,desktop,0,Macintosh,9,9,0.333333333,referral,2
8.79196E+16,Organic Search,0,3,1,Chrome,desktop,0,Macintosh,33,25,0,organic,1
8.8658E+16,Referral,0,21,1,Chrome,desktop,0,Macintosh,14,14,0,referral,8
8.88082E+16,Organic Search,0.5,12.5,2,Chrome,desktop,0,Windows,119,87,0,organic,7
8.89453E+16,Referral,0,19.5,4,Chrome,desktop,0,Macintosh,22.5,17,0.25,referral,2
